#   Time, ps   E_tot           T, K       Box-X
   22.400000  -315.395752  113.889046    5.437738
   22.500000  -259.570190  118.808624    5.437730
   22.600000  -265.834229  115.237518    5.437734
   22.700000  -265.025391  116.237411    5.437744
   22.800000  -271.844727  115.014862    5.437754
   22.900000  -261.378784  117.362633    5.437763
   23.000000  -286.106323  115.798248    5.437765
   23.100000  -293.135986  115.363968    5.437765
   23.200000  -251.713257  117.642082    5.437765
   23.300000  -245.919067  118.841995    5.437765
   23.400000  -210.979126  121.261024    5.437759
   23.500000  -218.675659  119.943558    5.437758
   23.600000  -248.977295  118.796234    5.437755
   23.700000  -235.015991  120.445061    5.437747
   23.800000  -249.045166  119.358345    5.437740
   23.900000  -220.283691  121.583679    5.437738
   24.000000  -241.221069  120.526390    5.437741
   24.100000  -238.688721  120.033401    5.437744
   24.200000  -233.688721  122.285942    5.437748
   24.300000  -247.536255  120.950798    5.437739
   24.400000  -254.170166  120.012428    5.437732
   24.500000  -261.448486  119.880226    5.437727
   24.600000  -257.893188  117.295616    5.437727
   24.700000  -251.291260  118.339493    5.437737
   24.800000  -217.685669  123.135750    5.437731
   24.900000  -261.328125  119.067963    5.437717
   25.000000  -263.688721  118.976807    5.437701
   25.100000  -242.920044  119.849869    5.437686
   25.200000  -212.953735  121.366592    5.437680
   25.300000  -229.813599  120.492004    5.437680
   25.400000  -236.364868  118.715988    5.437684
   25.500000  -256.085693  120.418854    5.437688
   25.600000  -235.974731  121.945396    5.437681
   25.700000  -225.266724  122.523651    5.437676
   25.800000  -237.770508  121.654251    5.437673
   25.900000  -253.094849  118.942535    5.437673
   26.000000  -251.222290  119.549400    5.437681
   26.100000  -243.184570  119.332413    5.437689
   26.200000  -272.842529  118.338966    5.437695
   26.300000  -259.637695  119.977730    5.437687
   26.400000  -268.492554  116.962303    5.437690
   26.500000  -262.044189  119.601997    5.437691
   26.600000  -262.649536  119.084511    5.437690
   26.700000  -284.761719  117.924355    5.437688
   26.800000  -302.498779  115.722107    5.437686
   26.900000  -267.363770  119.462952    5.437685
   27.000000  -270.154541  118.450188    5.437685
   27.100000  -243.063232  122.161102    5.437687
   27.200000  -197.328613  123.770836    5.437693
   27.300000  -214.287109  121.711670    5.437711
   27.400000  -246.482910  119.665688    5.437729
   27.500000  -234.572754  122.980614    5.437728
   27.600000  -260.097656  119.858810    5.437717
   27.700000  -249.431885  119.821320    5.437709
   27.800000  -247.159912  118.847336    5.437707
   27.900000  -249.016724  119.122536    5.437710
   28.000000  -248.840088  117.385033    5.437717
   28.100000  -223.957520  121.252357    5.437733
   28.200000  -202.362427  124.972076    5.437734
   28.300000  -227.186523  119.868996    5.437735
   28.400000  -218.850830  121.061684    5.437751
   28.500000  -207.339233  122.792557    5.437757
   28.600000  -212.968262  121.426010    5.437765
   28.700000  -241.385254  120.839066    5.437768
   28.800000  -236.963623  120.459259    5.437760
   28.900000  -221.107910  120.151108    5.437758
   29.000000  -223.806396  121.115952    5.437753
   29.100000  -243.685303  118.651436    5.437744
   29.200000  -267.176392  116.988663    5.437733
   29.300000  -275.302368  116.597672    5.437719
   29.400000  -303.657349  114.777634    5.437701
   29.500000  -286.620239  114.986809    5.437689
   29.600000  -249.598022  119.410904    5.437680
   29.700000  -284.863037  116.234512    5.437670
   29.800000  -307.904785  112.710449    5.437665
   29.900000  -263.264404  116.719971    5.437668
   30.000000  -298.074829  115.523193    5.437667
   30.100000  -274.270996  117.841133    5.437655
   30.200000  -238.872314  120.639977    5.437647
   30.300000  -258.240845  120.337616    5.437636
   30.400000  -258.683350  119.401321    5.437626
   30.500000  -249.257324  119.943161    5.437621
   30.600000  -230.046753  121.846016    5.437620
   30.700000  -275.576172  119.775391    5.437614
   30.800000  -250.352417  121.743195    5.437606
   30.900000  -263.953857  120.273201    5.437604
   31.000000  -286.839844  118.212799    5.437604
   31.100000  -288.362183  118.265518    5.437603
   31.200000  -251.772705  122.184296    5.437597
   31.300000  -268.201538  122.048050    5.437581
   31.400000  -242.161255  122.602844    5.437559
   31.500000  -230.775513  122.623688    5.437547
   31.600000  -227.872559  120.838692    5.437547
   31.700000  -266.816650  118.516441    5.437558
   31.800000  -287.760010  118.526665    5.437559
   31.900000  -255.900269  120.939812    5.437555
   32.000000  -237.556030  121.901207    5.437553
   32.100000  -199.137695  124.556160    5.437560
   32.200000  -217.744751  122.282936    5.437570
   32.300000  -209.391846  123.317543    5.437582
   32.400000  -228.364502  123.459534    5.437589
   32.500000  -240.982666  122.134064    5.437586
   32.600000  -228.513062  122.427269    5.437587
   32.700000  -231.085449  123.217789    5.437592
   32.800000  -204.420166  123.621155    5.437597
   32.900000  -221.498291  123.705254    5.437613
   33.000000  -256.015747  120.835129    5.437621
   33.100000  -230.772461  122.328758    5.437630
   33.200000  -269.489380  120.958351    5.437632
   33.300000  -249.679932  121.379723    5.437624
   33.400000  -254.913574  119.932999    5.437619
   33.500000  -247.846924  120.891388    5.437613
   33.600000  -229.929199  120.096512    5.437609
   33.700000  -245.275635  119.174980    5.437614
   33.800000  -252.266113  121.551125    5.437607
   33.900000  -266.971436  117.889763    5.437593
   34.000000  -244.828613  118.987312    5.437593
   34.100000  -266.734375  117.219803    5.437593
   34.200000  -280.628540  116.249031    5.437590
   34.300000  -301.338745  115.717247    5.437579
   34.400000  -280.663330  117.024879    5.437562
   34.500000  -269.748291  118.184296    5.437544
   34.600000  -280.953125  117.790672    5.437528
   34.700000  -280.906250  118.177551    5.437517
   34.800000  -289.675659  116.657646    5.437514
   34.900000  -270.617065  119.552216    5.437517
   35.000000  -281.349243  119.045036    5.437515
   35.100000  -212.297974  123.841255    5.437515
   35.200000  -226.619263  122.673347    5.437514
   35.300000  -250.193726  121.243851    5.437509
   35.400000  -258.267456  120.190323    5.437503
   35.500000  -273.824707  119.623444    5.437497
   35.600000  -281.785645  117.725670    5.437491
   35.700000  -281.648438  117.996399    5.437490
   35.800000  -262.749512  117.653046    5.437496
   35.900000  -274.148682  118.164665    5.437504
   36.000000  -306.338135  115.752350    5.437505
   36.100000  -291.703369  116.847847    5.437508
   36.200000  -290.863037  118.317726    5.437501
   36.300000  -299.126709  117.177948    5.437490
   36.400000  -293.537842  117.528839    5.437478
   36.500000  -289.636108  116.820465    5.437469
   36.600000  -255.896362  119.853355    5.437469
   36.700000  -215.900635  123.721062    5.437469
   36.800000  -260.916748  120.176132    5.437469
   36.900000  -246.738159  120.460312    5.437474
   37.000000  -289.486328  117.910713    5.437478
   37.100000  -261.927368  121.213783    5.437473
   37.200000  -268.580200  118.804985    5.437467
   37.300000  -247.281006  121.121422    5.437462
   37.400000  -254.246094  119.372849    5.437459
   37.500000  -227.399536  121.445259    5.437458
   37.600000  -237.340942  120.491234    5.437456
   37.700000  -257.121094  120.387482    5.437449
   37.800000  -240.130493  122.048569    5.437432
   37.900000  -225.392334  121.008865    5.437421
   38.000000  -215.245850  122.376450    5.437419
   38.100000  -233.325928  121.014336    5.437417
   38.200000  -239.374634  120.724274    5.437414
   38.300000  -213.645996  121.015877    5.437417
   38.400000  -232.837769  121.472137    5.437420
   38.500000  -235.019775  119.982903    5.437416
   38.600000  -220.012573  121.035751    5.437418
   38.700000  -218.212158  122.285110    5.437418
   38.800000  -198.542969  124.878067    5.437414
   38.900000  -210.662354  121.250885    5.437417
   39.000000  -189.804443  124.472855    5.437428
   39.100000  -231.359009  122.058937    5.437429
   39.200000  -244.781982  119.896347    5.437426
   39.300000  -291.019043  117.630798    5.437416
   39.400000  -304.414307  117.202248    5.437392
   39.500000  -323.542725  113.569244    5.437372
   39.600000  -279.435791  118.008240    5.437360
   39.700000  -281.183105  117.719452    5.437350
   39.800000  -295.422974  116.755623    5.437346
   39.900000  -298.606201  117.537231    5.437345
   40.000000  -301.049927  116.008667    5.437351
   40.100000  -293.815308  117.224274    5.437368
   40.200000  -301.007446  116.697784    5.437380
   40.300000  -288.925293  118.792282    5.437387
   40.400000  -303.894653  118.998047    5.437380
   40.500000  -338.978882  113.974640    5.437372
   40.600000  -337.656982  113.776955    5.437370
   40.700000  -319.602051  116.415955    5.437364
   40.800000  -307.852173  115.853561    5.437355
   40.900000  -281.310669  117.079353    5.437351
   41.000000  -321.329468  115.541893    5.437340
   41.100000  -304.416870  116.249199    5.437320
   41.200000  -309.737549  115.795609    5.437298
   41.300000  -303.413452  116.192184    5.437280
   41.400000  -302.309814  116.772896    5.437267
   41.500000  -310.784058  116.647697    5.437257
   41.600000  -302.434448  117.385826    5.437252
   41.700000  -284.694946  117.971054    5.437252
   41.800000  -324.690674  116.433098    5.437249
   41.900000  -350.416748  113.580040    5.437240
   42.000000  -322.650757  115.919159    5.437228
   42.100000  -294.779053  118.255211    5.437213
   42.200000  -304.842529  115.358376    5.437196
   42.300000  -252.509521  119.022072    5.437186
   42.400000  -286.386841  116.324265    5.437170
   42.500000  -249.758423  118.249878    5.437152
   42.600000  -237.572754  118.565178    5.437142
   42.700000  -258.412842  116.779655    5.437137
   42.800000  -248.023193  115.731979    5.437140
   42.900000  -258.814575  118.041382    5.437146
   43.000000  -305.665527  114.031998    5.437143
   43.100000  -290.309814  115.114853    5.437140
   43.200000  -243.480957  119.266624    5.437140
   43.300000  -224.874146  120.794823    5.437140
   43.400000  -251.843018  119.553490    5.437140
   43.500000  -204.746582  122.890320    5.437140
   43.600000  -195.126831  121.679169    5.437153
   43.700000  -187.376465  123.516998    5.437168
   43.800000  -183.274536  124.177544    5.437176
   43.900000  -168.486206  124.230057    5.437183
   44.000000  -173.490967  123.058029    5.437191
   44.100000  -159.315430  122.694382    5.437199
   44.200000  -124.470581  127.222153    5.437199
   44.300000  -138.130005  125.047989    5.437187
   44.400000  -172.508911  120.145424    5.437181
   44.500000  -196.991943  119.047058    5.437176
   44.600000  -191.283203  118.768814    5.437168
   44.700000  -185.635254  119.897018    5.437161
   44.800000  -166.779907  121.924728    5.437154
   44.900000  -184.380737  120.950073    5.437142
   45.000000  -189.095215  121.535210    5.437130
   45.100000  -199.117798  120.820099    5.437118
   45.200000  -205.862793  120.628723    5.437111
   45.300000  -234.897461  117.404312    5.437105
   45.400000  -253.786377  114.868393    5.437106
   45.500000  -249.773315  116.162361    5.437108
   45.600000  -217.241577  119.160194    5.437105
   45.700000  -212.770996  120.028938    5.437100
   45.800000  -210.398804  121.374832    5.437094
   45.900000  -211.557861  120.361938    5.437088
   46.000000  -201.621094  120.600800    5.437091
   46.100000  -218.340942  120.592064    5.437095
   46.200000  -209.608643  121.568680    5.437093
   46.300000  -210.397949  122.150963    5.437088
   46.400000  -232.100952  118.570717    5.437088
   46.500000  -225.692749  119.392921    5.437097
   46.600000  -233.643799  119.683487    5.437098
   46.700000  -206.391968  121.321625    5.437094
   46.800000  -208.014526  119.748100    5.437091
   46.900000  -204.016479  120.760246    5.437085
   47.000000  -216.895386  119.099030    5.437077
   47.100000  -231.062866  117.426346    5.437070
   47.200000  -227.042725  119.364998    5.437061
   47.300000  -230.777954  119.528145    5.437043
   47.400000  -197.364014  121.047462    5.437027
   47.500000  -186.630371  122.668785    5.437020
   47.600000  -222.667969  119.525963    5.437013
   47.700000  -247.802856  118.566856    5.437009
   47.800000  -245.892578  119.454361    5.437000
   47.900000  -188.345703  123.342888    5.436995
   48.000000  -217.849731  121.768875    5.436991
   48.100000  -199.912109  122.922951    5.436983
   48.200000  -232.055908  120.576714    5.436974
   48.300000  -244.485352  119.147285    5.436964
   48.400000  -233.309326  120.673927    5.436956
   48.500000  -232.647827  119.694687    5.436945
   48.600000  -282.708862  113.831741    5.436945
   48.700000  -252.623901  117.619179    5.436946
   48.800000  -245.800537  120.101547    5.436943
   48.900000  -262.225830  120.286629    5.436928
   49.000000  -262.139160  118.547630    5.436917
   49.100000  -244.753052  120.289749    5.436914
   49.200000  -249.981079  118.828499    5.436914
   49.300000  -251.435547  120.770668    5.436913
   49.400000  -280.493286  118.791809    5.436899
   49.500000  -316.196045  115.259094    5.436885
   49.600000  -302.155029  115.619522    5.436876
   49.700000  -295.002930  115.801720    5.436876
   49.800000  -286.751953  117.883949    5.436875
   49.900000  -280.131104  117.278297    5.436874
   50.000000  -263.003540  118.953529    5.436881
   50.100000  -252.142456  120.623940    5.436882
   50.200000  -269.385986  118.936089    5.436882
   50.300000  -265.116333  118.821136    5.436884
   50.400000  -255.462646  120.243065    5.436886
   50.500000  -235.460693  122.861145    5.436883
   50.600000  -268.950317  118.737717    5.436882
   50.700000  -287.320557  118.950417    5.436882
   50.800000  -291.853638  118.092445    5.436875
   50.900000  -317.392822  115.870033    5.436869
   51.000000  -288.381470  118.515808    5.436862
   51.100000  -305.680908  115.545631    5.436859
   51.200000  -337.798828  113.380669    5.436858
   51.300000  -334.566528  115.227470    5.436850
   51.400000  -350.982422  113.147186    5.436829
   51.500000  -352.781372  113.049995    5.436811
   51.600000  -351.548340  111.782509    5.436796
   51.700000  -295.426270  117.084419    5.436785
   51.800000  -263.210449  119.661034    5.436777
   51.900000  -271.458130  117.200172    5.436777
   52.000000  -297.149170  116.246590    5.436783
   52.100000  -296.854248  116.729126    5.436784
   52.200000  -280.870483  117.967934    5.436785
   52.300000  -249.360718  121.473366    5.436783
   52.400000  -228.668213  121.689796    5.436781
   52.500000  -184.506714  124.480682    5.436789
   52.600000  -183.853394  123.396324    5.436799
   52.700000  -192.111938  123.198837    5.436813
   52.800000  -177.298218  124.942017    5.436820
   52.900000  -206.491333  121.593300    5.436828
   53.000000  -227.150269  120.834145    5.436831
   53.100000  -208.556641  120.674896    5.436833
   53.200000  -201.113159  121.251770    5.436841
   53.300000  -168.987305  123.721771    5.436843
   53.400000  -169.254883  124.330521    5.436844
   53.500000  -195.755859  122.728920    5.436835
   53.600000  -184.195435  123.226402    5.436828
   53.700000  -196.064331  123.607948    5.436816
   53.800000  -210.821411  122.262772    5.436800
   53.900000  -201.191406  123.167274    5.436787
   54.000000  -235.896973  119.610672    5.436777
   54.100000  -253.109863  117.072601    5.436775
   54.200000  -252.633057  117.691818    5.436778
   54.300000  -260.384033  118.681839    5.436776
   54.400000  -291.708862  117.473251    5.436764
   54.500000  -306.986328  115.932732    5.436746
   54.600000  -271.574585  117.981003    5.436734
   54.700000  -261.987427  117.155930    5.436730
   54.800000  -205.600830  121.591911    5.436738
   54.900000  -201.223145  123.709717    5.436742
   55.000000  -232.992676  120.133293    5.436740
   55.100000  -222.583252  119.491478    5.436746
   55.200000  -234.570923  119.434227    5.436753
   55.300000  -242.782837  120.163025    5.436749
   55.400000  -287.496216  116.857674    5.436734
   55.500000  -310.319336  115.341286    5.436718
   55.600000  -299.927490  115.240440    5.436703
   55.700000  -318.435303  112.839401    5.436700
   55.800000  -315.989014  114.538292    5.436698
   55.900000  -295.374878  116.256920    5.436696
   56.000000  -316.744629  115.366180    5.436689
   56.100000  -335.388428  113.658249    5.436681
   56.200000  -325.016602  115.698013    5.436669
   56.300000  -334.207764  115.150513    5.436657
   56.400000  -286.808472  118.346992    5.436647
   56.500000  -264.986328  121.758537    5.436637
   56.600000  -245.177612  119.913849    5.436638
   56.700000  -259.756348  120.581375    5.436652
   56.800000  -262.248535  119.991272    5.436659
   56.900000  -244.369385  122.236641    5.436668
   57.000000  -264.816650  120.875481    5.436670
   57.100000  -230.930420  121.758423    5.436679
   57.200000  -234.329712  120.741562    5.436689
   57.300000  -249.761230  120.328133    5.436700
   57.400000  -255.946533  121.896469    5.436698
   57.500000  -252.590088  120.897942    5.436692
   57.600000  -229.265503  121.013542    5.436694
   57.700000  -229.918701  123.001106    5.436699
   57.800000  -226.630859  122.099007    5.436698
   57.900000  -238.651245  119.426720    5.436708
   58.000000  -239.677856  121.844864    5.436711
   58.100000  -219.726807  122.169510    5.436705
   58.200000  -226.137939  119.804832    5.436701
   58.300000  -207.956299  122.463432    5.436695
   58.400000  -174.199463  124.952278    5.436680
   58.500000  -164.497070  125.136894    5.436667
   58.600000  -169.468506  123.626457    5.436659
   58.700000  -194.180298  122.666420    5.436656
   58.800000  -168.323975  123.177185    5.436651
   58.900000  -166.176758  122.554405    5.436661
   59.000000  -175.265259  123.283272    5.436670
   59.100000  -179.574097  124.201035    5.436671
   59.200000  -184.115234  124.591080    5.436668
   59.300000  -150.392822  127.208702    5.436665
   59.400000  -178.514893  122.699081    5.436668
   59.500000  -151.704956  125.016373    5.436686
   59.600000  -143.308472  127.471771    5.436697
   59.700000  -137.367554  126.808266    5.436703
   59.800000  -186.898315  123.818665    5.436711
   59.900000  -197.099121  123.298576    5.436707
   60.000000  -214.621094  121.254272    5.436706
   60.100000  -216.464844  119.627678    5.436710
   60.200000  -215.968262  118.979294    5.436721
   60.300000  -223.642822  120.340828    5.436724
   60.400000  -235.363647  119.222679    5.436718
   60.500000  -189.955933  121.314491    5.436713
   60.600000  -181.862183  122.725922    5.436712
   60.700000  -190.155151  122.776978    5.436711
   60.800000  -199.986816  121.587372    5.436707
   60.900000  -226.883057  118.949120    5.436706
   61.000000  -225.426392  119.692940    5.436705
   61.100000  -246.133423  119.610733    5.436696
   61.200000  -222.115234  121.958626    5.436684
   61.300000  -195.405762  123.103439    5.436677
   61.400000  -213.163208  122.475906    5.436677
   61.500000  -241.209961  119.628677    5.436680
   61.600000  -226.983643  121.183739    5.436687
   61.700000  -219.182983  124.007652    5.436688
   61.800000  -270.844604  119.389984    5.436681
   61.900000  -280.503784  118.140778    5.436676
   62.000000  -246.192871  118.689583    5.436679
   62.100000  -222.509033  121.946609    5.436688
   62.200000  -207.659668  122.341927    5.436691
   62.300000  -251.007324  118.651253    5.436693
   62.400000  -238.573242  119.430870    5.436693
   62.500000  -228.845337  119.629242    5.436698
   62.600000  -260.334106  117.677299    5.436704
   62.700000  -243.377930  119.129356    5.436706
   62.800000  -257.348389  118.909966    5.436704
   62.900000  -293.342163  116.472496    5.436695
   63.000000  -214.619141  121.178123    5.436688
   63.100000  -226.541626  119.368896    5.436692
   63.200000  -211.660522  121.168922    5.436705
   63.300000  -212.213013  123.619278    5.436707
